"year","month","job","level","remote","turnover_rate"
4,4,"People Scientist",3,"Yes",4.58
5,4,"People Scientist",3,"Yes",8.19
1,5,"People Scientist",3,"Yes",4.64
2,5,"People Scientist",3,"Yes",4.94
3,5,"People Scientist",3,"Yes",4.18
4,5,"People Scientist",3,"Yes",4.52
5,5,"People Scientist",3,"Yes",8.13
1,6,"People Scientist",3,"Yes",4.36
2,6,"People Scientist",3,"Yes",4.66
3,6,"People Scientist",3,"Yes",3.9
4,6,"People Scientist",3,"Yes",4.24
5,6,"People Scientist",3,"Yes",7.85
1,7,"People Scientist",3,"Yes",3.98
2,7,"People Scientist",3,"Yes",4.28
3,7,"People Scientist",3,"Yes",3.52
4,7,"People Scientist",3,"Yes",3.86
5,7,"People Scientist",3,"Yes",7.47
1,8,"People Scientist",3,"Yes",3.62
2,8,"People Scientist",3,"Yes",3.92
3,8,"People Scientist",3,"Yes",3.16
4,8,"People Scientist",3,"Yes",3.5
5,8,"People Scientist",3,"Yes",7.11
1,9,"People Scientist",3,"Yes",3.4
2,9,"People Scientist",3,"Yes",3.7
3,9,"People Scientist",3,"Yes",2.94
4,9,"People Scientist",3,"Yes",3.28
5,9,"People Scientist",3,"Yes",6.89
1,10,"People Scientist",3,"Yes",3.44
2,10,"People Scientist",3,"Yes",3.74
3,10,"People Scientist",3,"Yes",2.98
4,10,"People Scientist",3,"Yes",3.32
5,10,"People Scientist",3,"Yes",6.93
1,11,"People Scientist",3,"Yes",3.86
2,11,"People Scientist",3,"Yes",4.16
3,11,"People Scientist",3,"Yes",3.4
4,11,"People Scientist",3,"Yes",3.74
5,11,"People Scientist",3,"Yes",7.35
1,12,"People Scientist",3,"Yes",4.78
2,12,"People Scientist",3,"Yes",5.08
3,12,"People Scientist",3,"Yes",4.32
4,12,"People Scientist",3,"Yes",4.66
5,12,"People Scientist",3,"Yes",8.27
1,1,"Data Engineer",3,"Yes",5.36
2,1,"Data Engineer",3,"Yes",5.66
3,1,"Data Engineer",3,"Yes",4.9
4,1,"Data Engineer",3,"Yes",5.24
5,1,"Data Engineer",3,"Yes",8.85
1,2,"Data Engineer",3,"Yes",6.68
2,2,"Data Engineer",3,"Yes",6.98
3,2,"Data Engineer",3,"Yes",6.22
4,2,"Data Engineer",3,"Yes",6.56
5,2,"Data Engineer",3,"Yes",10.17
1,3,"Data Engineer",3,"Yes",7.42
2,3,"Data Engineer",3,"Yes",7.72
3,3,"Data Engineer",3,"Yes",6.96
4,3,"Data Engineer",3,"Yes",7.3
5,3,"Data Engineer",3,"Yes",10.91
1,4,"Data Engineer",3,"Yes",7.7
2,4,"Data Engineer",3,"Yes",8
3,4,"Data Engineer",3,"Yes",7.24
4,4,"Data Engineer",3,"Yes",7.58
5,4,"Data Engineer",3,"Yes",11.19
1,5,"Data Engineer",3,"Yes",7.64
2,5,"Data Engineer",3,"Yes",7.94
3,5,"Data Engineer",3,"Yes",7.18
4,5,"Data Engineer",3,"Yes",7.52
5,5,"Data Engineer",3,"Yes",11.13
1,6,"Data Engineer",3,"Yes",7.36
2,6,"Data Engineer",3,"Yes",7.66
3,6,"Data Engineer",3,"Yes",6.9
4,6,"Data Engineer",3,"Yes",7.24
5,6,"Data Engineer",3,"Yes",10.85
1,7,"Data Engineer",3,"Yes",6.98
2,7,"Data Engineer",3,"Yes",7.28
3,7,"Data Engineer",3,"Yes",6.52
4,7,"Data Engineer",3,"Yes",6.86
5,7,"Data Engineer",3,"Yes",10.47
1,8,"Data Engineer",3,"Yes",6.62
2,8,"Data Engineer",3,"Yes",6.92
3,8,"Data Engineer",3,"Yes",6.16
4,8,"Data Engineer",3,"Yes",6.5
5,8,"Data Engineer",3,"Yes",10.11
1,9,"Data Engineer",3,"Yes",6.4
2,9,"Data Engineer",3,"Yes",6.7
3,9,"Data Engineer",3,"Yes",5.94
4,9,"Data Engineer",3,"Yes",6.28
5,9,"Data Engineer",3,"Yes",9.89
1,10,"Data Engineer",3,"Yes",6.44
2,10,"Data Engineer",3,"Yes",6.74
3,10,"Data Engineer",3,"Yes",5.98
4,10,"Data Engineer",3,"Yes",6.32
5,10,"Data Engineer",3,"Yes",9.93
1,11,"Data Engineer",3,"Yes",6.86
2,11,"Data Engineer",3,"Yes",7.16
3,11,"Data Engineer",3,"Yes",6.4
4,11,"Data Engineer",3,"Yes",6.74
5,11,"Data Engineer",3,"Yes",10.35
1,12,"Data Engineer",3,"Yes",7.78
2,12,"Data Engineer",3,"Yes",8.08
3,12,"Data Engineer",3,"Yes",7.32
4,12,"Data Engineer",3,"Yes",7.66
5,12,"Data Engineer",3,"Yes",11.27
1,1,"People Analyst",3,"Yes",4.36
2,1,"People Analyst",3,"Yes",4.66
3,1,"People Analyst",3,"Yes",3.9
4,1,"People Analyst",3,"Yes",4.24
5,1,"People Analyst",3,"Yes",7.85
1,2,"People Analyst",3,"Yes",5.68
2,2,"People Analyst",3,"Yes",5.98
3,2,"People Analyst",3,"Yes",5.22
4,2,"People Analyst",3,"Yes",5.56
5,2,"People Analyst",3,"Yes",9.17
1,3,"People Analyst",3,"Yes",6.42
2,3,"People Analyst",3,"Yes",6.72
3,3,"People Analyst",3,"Yes",5.96
4,3,"People Analyst",3,"Yes",6.3
5,3,"People Analyst",3,"Yes",9.91
1,4,"People Analyst",3,"Yes",6.7
2,4,"People Analyst",3,"Yes",7
3,4,"People Analyst",3,"Yes",6.24
4,4,"People Analyst",3,"Yes",6.58
5,4,"People Analyst",3,"Yes",10.19
1,5,"People Analyst",3,"Yes",6.64
2,5,"People Analyst",3,"Yes",6.94
3,5,"People Analyst",3,"Yes",6.18
4,5,"People Analyst",3,"Yes",6.52
5,5,"People Analyst",3,"Yes",10.13
1,6,"People Analyst",3,"Yes",6.36
2,6,"People Analyst",3,"Yes",6.66
3,6,"People Analyst",3,"Yes",5.9
4,6,"People Analyst",3,"Yes",6.24
5,6,"People Analyst",3,"Yes",9.85
1,7,"People Analyst",3,"Yes",5.98
2,7,"People Analyst",3,"Yes",6.28
3,7,"People Analyst",3,"Yes",5.52
4,7,"People Analyst",3,"Yes",5.86
5,7,"People Analyst",3,"Yes",9.47
1,8,"People Analyst",3,"Yes",5.62
2,8,"People Analyst",3,"Yes",5.92
3,8,"People Analyst",3,"Yes",5.16
4,8,"People Analyst",3,"Yes",5.5
5,8,"People Analyst",3,"Yes",9.11
1,9,"People Analyst",3,"Yes",5.4
2,9,"People Analyst",3,"Yes",5.7
3,9,"People Analyst",3,"Yes",4.94
4,9,"People Analyst",3,"Yes",5.28
5,9,"People Analyst",3,"Yes",8.89
1,10,"People Analyst",3,"Yes",5.44
2,10,"People Analyst",3,"Yes",5.74
3,10,"People Analyst",3,"Yes",4.98
4,10,"People Analyst",3,"Yes",5.32
5,10,"People Analyst",3,"Yes",8.93
1,11,"People Analyst",3,"Yes",5.86
2,11,"People Analyst",3,"Yes",6.16
3,11,"People Analyst",3,"Yes",5.4
4,11,"People Analyst",3,"Yes",5.74
5,11,"People Analyst",3,"Yes",9.35
1,12,"People Analyst",3,"Yes",6.78
2,12,"People Analyst",3,"Yes",7.08
3,12,"People Analyst",3,"Yes",6.32
4,12,"People Analyst",3,"Yes",6.66
5,12,"People Analyst",3,"Yes",10.27
1,1,"BI Developer",3,"Yes",3.36
2,1,"BI Developer",3,"Yes",3.66
3,1,"BI Developer",3,"Yes",2.9
4,1,"BI Developer",3,"Yes",3.24
5,1,"BI Developer",3,"Yes",6.85
1,2,"BI Developer",3,"Yes",4.68
2,2,"BI Developer",3,"Yes",4.98
3,2,"BI Developer",3,"Yes",4.22
4,2,"BI Developer",3,"Yes",4.56
5,2,"BI Developer",3,"Yes",8.17
1,3,"BI Developer",3,"Yes",5.42
2,3,"BI Developer",3,"Yes",5.72
3,3,"BI Developer",3,"Yes",4.96
4,3,"BI Developer",3,"Yes",5.3
5,3,"BI Developer",3,"Yes",8.91
1,4,"BI Developer",3,"Yes",5.7
2,4,"BI Developer",3,"Yes",6
3,4,"BI Developer",3,"Yes",5.24
4,4,"BI Developer",3,"Yes",5.58
5,4,"BI Developer",3,"Yes",9.19
1,5,"BI Developer",3,"Yes",5.64
2,5,"BI Developer",3,"Yes",5.94
3,5,"BI Developer",3,"Yes",5.18
4,5,"BI Developer",3,"Yes",5.52
5,5,"BI Developer",3,"Yes",9.13
1,6,"BI Developer",3,"Yes",5.36
2,6,"BI Developer",3,"Yes",5.66
3,6,"BI Developer",3,"Yes",4.9
4,6,"BI Developer",3,"Yes",5.24
5,6,"BI Developer",3,"Yes",8.85
1,7,"BI Developer",3,"Yes",4.98
2,7,"BI Developer",3,"Yes",5.28
3,7,"BI Developer",3,"Yes",4.52
4,7,"BI Developer",3,"Yes",4.86
5,7,"BI Developer",3,"Yes",8.47
1,8,"BI Developer",3,"Yes",4.62
2,8,"BI Developer",3,"Yes",4.92
3,8,"BI Developer",3,"Yes",4.16
4,8,"BI Developer",3,"Yes",4.5
5,8,"BI Developer",3,"Yes",8.11
1,9,"BI Developer",3,"Yes",4.4
2,9,"BI Developer",3,"Yes",4.7
3,9,"BI Developer",3,"Yes",3.94
4,9,"BI Developer",3,"Yes",4.28
5,9,"BI Developer",3,"Yes",7.89
1,10,"BI Developer",3,"Yes",4.44
2,10,"BI Developer",3,"Yes",4.74
3,10,"BI Developer",3,"Yes",3.98
4,10,"BI Developer",3,"Yes",4.32
5,10,"BI Developer",3,"Yes",7.93
1,11,"BI Developer",3,"Yes",4.86
2,11,"BI Developer",3,"Yes",5.16
3,11,"BI Developer",3,"Yes",4.4
4,11,"BI Developer",3,"Yes",4.74
5,11,"BI Developer",3,"Yes",8.35
1,12,"BI Developer",3,"Yes",5.78
2,12,"BI Developer",3,"Yes",6.08
3,12,"BI Developer",3,"Yes",5.32
4,12,"BI Developer",3,"Yes",5.66
5,12,"BI Developer",3,"Yes",9.27
1,1,"Insights Consultant",3,"Yes",4.86
2,1,"Insights Consultant",3,"Yes",5.16
3,1,"Insights Consultant",3,"Yes",4.4
4,1,"Insights Consultant",3,"Yes",4.74
5,1,"Insights Consultant",3,"Yes",8.35
1,2,"Insights Consultant",3,"Yes",6.18
2,2,"Insights Consultant",3,"Yes",6.48
3,2,"Insights Consultant",3,"Yes",5.72
4,2,"Insights Consultant",3,"Yes",6.06
5,2,"Insights Consultant",3,"Yes",9.67
1,3,"Insights Consultant",3,"Yes",6.92
2,3,"Insights Consultant",3,"Yes",7.22
3,3,"Insights Consultant",3,"Yes",6.46
4,3,"Insights Consultant",3,"Yes",6.8
5,3,"Insights Consultant",3,"Yes",10.41
1,4,"Insights Consultant",3,"Yes",7.2
2,4,"Insights Consultant",3,"Yes",7.5
3,4,"Insights Consultant",3,"Yes",6.74
4,4,"Insights Consultant",3,"Yes",7.08
5,4,"Insights Consultant",3,"Yes",10.69
1,5,"Insights Consultant",3,"Yes",7.14
2,5,"Insights Consultant",3,"Yes",7.44
3,5,"Insights Consultant",3,"Yes",6.68
4,5,"Insights Consultant",3,"Yes",7.02
5,5,"Insights Consultant",3,"Yes",10.63
1,6,"Insights Consultant",3,"Yes",6.86
2,6,"Insights Consultant",3,"Yes",7.16
3,6,"Insights Consultant",3,"Yes",6.4
4,6,"Insights Consultant",3,"Yes",6.74
5,6,"Insights Consultant",3,"Yes",10.35
1,7,"Insights Consultant",3,"Yes",6.48
2,7,"Insights Consultant",3,"Yes",6.78
3,7,"Insights Consultant",3,"Yes",6.02
4,7,"Insights Consultant",3,"Yes",6.36
5,7,"Insights Consultant",3,"Yes",9.97
1,8,"Insights Consultant",3,"Yes",6.12
2,8,"Insights Consultant",3,"Yes",6.42
3,8,"Insights Consultant",3,"Yes",5.66
4,8,"Insights Consultant",3,"Yes",6
5,8,"Insights Consultant",3,"Yes",9.61
1,9,"Insights Consultant",3,"Yes",5.9
2,9,"Insights Consultant",3,"Yes",6.2
3,9,"Insights Consultant",3,"Yes",5.44
4,9,"Insights Consultant",3,"Yes",5.78
5,9,"Insights Consultant",3,"Yes",9.39
1,10,"Insights Consultant",3,"Yes",5.94
2,10,"Insights Consultant",3,"Yes",6.24
3,10,"Insights Consultant",3,"Yes",5.48
4,10,"Insights Consultant",3,"Yes",5.82
5,10,"Insights Consultant",3,"Yes",9.43
1,11,"Insights Consultant",3,"Yes",6.36
2,11,"Insights Consultant",3,"Yes",6.66
3,11,"Insights Consultant",3,"Yes",5.9
4,11,"Insights Consultant",3,"Yes",6.24
5,11,"Insights Consultant",3,"Yes",9.85
1,12,"Insights Consultant",3,"Yes",7.28
2,12,"Insights Consultant",3,"Yes",7.58
3,12,"Insights Consultant",3,"Yes",6.82
4,12,"Insights Consultant",3,"Yes",7.16
5,12,"Insights Consultant",3,"Yes",10.77
1,1,"People Scientist",4,"Yes",2.07
2,1,"People Scientist",4,"Yes",2.38
3,1,"People Scientist",4,"Yes",1.61
4,1,"People Scientist",4,"Yes",1.95
5,1,"People Scientist",4,"Yes",5.56
1,2,"People Scientist",4,"Yes",3.39
2,2,"People Scientist",4,"Yes",3.7
3,2,"People Scientist",4,"Yes",2.93
4,2,"People Scientist",4,"Yes",3.27
5,2,"People Scientist",4,"Yes",6.88
1,3,"People Scientist",4,"Yes",4.13
2,3,"People Scientist",4,"Yes",4.44
3,3,"People Scientist",4,"Yes",3.67
4,3,"People Scientist",4,"Yes",4.01
5,3,"People Scientist",4,"Yes",7.62
1,4,"People Scientist",4,"Yes",4.41
2,4,"People Scientist",4,"Yes",4.72
3,4,"People Scientist",4,"Yes",3.95
4,4,"People Scientist",4,"Yes",4.29
5,4,"People Scientist",4,"Yes",7.9
1,5,"People Scientist",4,"Yes",4.35
2,5,"People Scientist",4,"Yes",4.66
3,5,"People Scientist",4,"Yes",3.89
4,5,"People Scientist",4,"Yes",4.23
5,5,"People Scientist",4,"Yes",7.84
1,6,"People Scientist",4,"Yes",4.07
2,6,"People Scientist",4,"Yes",4.38
3,6,"People Scientist",4,"Yes",3.61
4,6,"People Scientist",4,"Yes",3.95
5,6,"People Scientist",4,"Yes",7.56
1,7,"People Scientist",4,"Yes",3.69
2,7,"People Scientist",4,"Yes",4
3,7,"People Scientist",4,"Yes",3.23
4,7,"People Scientist",4,"Yes",3.57
5,7,"People Scientist",4,"Yes",7.18
1,8,"People Scientist",4,"Yes",3.33
2,8,"People Scientist",4,"Yes",3.64
3,8,"People Scientist",4,"Yes",2.87
4,8,"People Scientist",4,"Yes",3.21
5,8,"People Scientist",4,"Yes",6.82
1,9,"People Scientist",4,"Yes",3.11
2,9,"People Scientist",4,"Yes",3.42
3,9,"People Scientist",4,"Yes",2.65
4,9,"People Scientist",4,"Yes",2.99
5,9,"People Scientist",4,"Yes",6.6
1,10,"People Scientist",4,"Yes",3.15
2,10,"People Scientist",4,"Yes",3.46
3,10,"People Scientist",4,"Yes",2.69
4,10,"People Scientist",4,"Yes",3.03
5,10,"People Scientist",4,"Yes",6.64
1,11,"People Scientist",4,"Yes",3.57
2,11,"People Scientist",4,"Yes",3.88
3,11,"People Scientist",4,"Yes",3.11
4,11,"People Scientist",4,"Yes",3.45
5,11,"People Scientist",4,"Yes",7.06
1,12,"People Scientist",4,"Yes",4.49
2,12,"People Scientist",4,"Yes",4.8
3,12,"People Scientist",4,"Yes",4.03
4,12,"People Scientist",4,"Yes",4.37
5,12,"People Scientist",4,"Yes",7.98
1,1,"Data Engineer",4,"Yes",5.07
2,1,"Data Engineer",4,"Yes",5.38
3,1,"Data Engineer",4,"Yes",4.61
4,1,"Data Engineer",4,"Yes",4.95
5,1,"Data Engineer",4,"Yes",8.56
1,2,"Data Engineer",4,"Yes",6.39
2,2,"Data Engineer",4,"Yes",6.7
3,2,"Data Engineer",4,"Yes",5.93
4,2,"Data Engineer",4,"Yes",6.27
5,2,"Data Engineer",4,"Yes",9.88
1,3,"Data Engineer",4,"Yes",7.13
2,3,"Data Engineer",4,"Yes",7.44
3,3,"Data Engineer",4,"Yes",6.67
4,3,"Data Engineer",4,"Yes",7.01
5,3,"Data Engineer",4,"Yes",10.62
1,4,"Data Engineer",4,"Yes",7.41
2,4,"Data Engineer",4,"Yes",7.72
3,4,"Data Engineer",4,"Yes",6.95
4,4,"Data Engineer",4,"Yes",7.29
5,4,"Data Engineer",4,"Yes",10.9
1,5,"Data Engineer",4,"Yes",7.35
2,5,"Data Engineer",4,"Yes",7.66
3,5,"Data Engineer",4,"Yes",6.89
4,5,"Data Engineer",4,"Yes",7.23
5,5,"Data Engineer",4,"Yes",10.84
1,6,"Data Engineer",4,"Yes",7.07
2,6,"Data Engineer",4,"Yes",7.38
3,6,"Data Engineer",4,"Yes",6.61
4,6,"Data Engineer",4,"Yes",6.95
5,6,"Data Engineer",4,"Yes",10.56
1,7,"Data Engineer",4,"Yes",6.69
2,7,"Data Engineer",4,"Yes",7
3,7,"Data Engineer",4,"Yes",6.23
4,7,"Data Engineer",4,"Yes",6.57
5,7,"Data Engineer",4,"Yes",10.18
1,8,"Data Engineer",4,"Yes",6.33
2,8,"Data Engineer",4,"Yes",6.64
3,8,"Data Engineer",4,"Yes",5.87
4,8,"Data Engineer",4,"Yes",6.21
5,8,"Data Engineer",4,"Yes",9.82
1,9,"Data Engineer",4,"Yes",6.11
2,9,"Data Engineer",4,"Yes",6.42
3,9,"Data Engineer",4,"Yes",5.65
4,9,"Data Engineer",4,"Yes",5.99
5,9,"Data Engineer",4,"Yes",9.6
1,10,"Data Engineer",4,"Yes",6.15
2,10,"Data Engineer",4,"Yes",6.46
3,10,"Data Engineer",4,"Yes",5.69
4,10,"Data Engineer",4,"Yes",6.03
5,10,"Data Engineer",4,"Yes",9.64
1,11,"Data Engineer",4,"Yes",6.57
2,11,"Data Engineer",4,"Yes",6.88
3,11,"Data Engineer",4,"Yes",6.11
4,11,"Data Engineer",4,"Yes",6.45
5,11,"Data Engineer",4,"Yes",10.06
1,12,"Data Engineer",4,"Yes",7.49
2,12,"Data Engineer",4,"Yes",7.8
3,12,"Data Engineer",4,"Yes",7.03
4,12,"Data Engineer",4,"Yes",7.37
5,12,"Data Engineer",4,"Yes",10.98
1,1,"People Analyst",4,"Yes",4.07
2,1,"People Analyst",4,"Yes",4.38
3,1,"People Analyst",4,"Yes",3.61
4,1,"People Analyst",4,"Yes",3.95
5,1,"People Analyst",4,"Yes",7.56
1,2,"People Analyst",4,"Yes",5.39
2,2,"People Analyst",4,"Yes",5.7
3,2,"People Analyst",4,"Yes",4.93
4,2,"People Analyst",4,"Yes",5.27
5,2,"People Analyst",4,"Yes",8.88
1,3,"People Analyst",4,"Yes",6.13
2,3,"People Analyst",4,"Yes",6.44
3,3,"People Analyst",4,"Yes",5.67
4,3,"People Analyst",4,"Yes",6.01
5,3,"People Analyst",4,"Yes",9.62
1,4,"People Analyst",4,"Yes",6.41
2,4,"People Analyst",4,"Yes",6.72
3,4,"People Analyst",4,"Yes",5.95
4,4,"People Analyst",4,"Yes",6.29
5,4,"People Analyst",4,"Yes",9.9
1,5,"People Analyst",4,"Yes",6.35
2,5,"People Analyst",4,"Yes",6.66
3,5,"People Analyst",4,"Yes",5.89
4,5,"People Analyst",4,"Yes",6.23
5,5,"People Analyst",4,"Yes",9.84
1,6,"People Analyst",4,"Yes",6.07
2,6,"People Analyst",4,"Yes",6.38
3,6,"People Analyst",4,"Yes",5.61
4,6,"People Analyst",4,"Yes",5.95
5,6,"People Analyst",4,"Yes",9.56
1,7,"People Analyst",4,"Yes",5.69
2,7,"People Analyst",4,"Yes",6
3,7,"People Analyst",4,"Yes",5.23
4,7,"People Analyst",4,"Yes",5.57
5,7,"People Analyst",4,"Yes",9.18
1,8,"People Analyst",4,"Yes",5.33
2,8,"People Analyst",4,"Yes",5.64
3,8,"People Analyst",4,"Yes",4.87
4,8,"People Analyst",4,"Yes",5.21
5,8,"People Analyst",4,"Yes",8.82
1,9,"People Analyst",4,"Yes",5.11
2,9,"People Analyst",4,"Yes",5.42
3,9,"People Analyst",4,"Yes",4.65
4,9,"People Analyst",4,"Yes",4.99
5,9,"People Analyst",4,"Yes",8.6
1,10,"People Analyst",4,"Yes",5.15
2,10,"People Analyst",4,"Yes",5.46
3,10,"People Analyst",4,"Yes",4.69
4,10,"People Analyst",4,"Yes",5.03
5,10,"People Analyst",4,"Yes",8.64
1,11,"People Analyst",4,"Yes",5.57
2,11,"People Analyst",4,"Yes",5.88
3,11,"People Analyst",4,"Yes",5.11
4,11,"People Analyst",4,"Yes",5.45
5,11,"People Analyst",4,"Yes",9.06
1,12,"People Analyst",4,"Yes",6.49
2,12,"People Analyst",4,"Yes",6.8
3,12,"People Analyst",4,"Yes",6.03
4,12,"People Analyst",4,"Yes",6.37
5,12,"People Analyst",4,"Yes",9.98
1,1,"BI Developer",4,"Yes",3.07
2,1,"BI Developer",4,"Yes",3.38
3,1,"BI Developer",4,"Yes",2.61
4,1,"BI Developer",4,"Yes",2.95
5,1,"BI Developer",4,"Yes",6.56
1,2,"BI Developer",4,"Yes",4.39
2,2,"BI Developer",4,"Yes",4.7
3,2,"BI Developer",4,"Yes",3.93
4,2,"BI Developer",4,"Yes",4.27
5,2,"BI Developer",4,"Yes",7.88
1,3,"BI Developer",4,"Yes",5.13
2,3,"BI Developer",4,"Yes",5.44
3,3,"BI Developer",4,"Yes",4.67
4,3,"BI Developer",4,"Yes",5.01
5,3,"BI Developer",4,"Yes",8.62
1,4,"BI Developer",4,"Yes",5.41
2,4,"BI Developer",4,"Yes",5.72
3,4,"BI Developer",4,"Yes",4.95
4,4,"BI Developer",4,"Yes",5.29
5,4,"BI Developer",4,"Yes",8.9
1,5,"BI Developer",4,"Yes",5.35
2,5,"BI Developer",4,"Yes",5.66
3,5,"BI Developer",4,"Yes",4.89
4,5,"BI Developer",4,"Yes",5.23
5,5,"BI Developer",4,"Yes",8.84
1,6,"BI Developer",4,"Yes",5.07
2,6,"BI Developer",4,"Yes",5.38
3,6,"BI Developer",4,"Yes",4.61
4,6,"BI Developer",4,"Yes",4.95
5,6,"BI Developer",4,"Yes",8.56
1,7,"BI Developer",4,"Yes",4.69
2,7,"BI Developer",4,"Yes",5
3,7,"BI Developer",4,"Yes",4.23
4,7,"BI Developer",4,"Yes",4.57
5,7,"BI Developer",4,"Yes",8.18
1,8,"BI Developer",4,"Yes",4.33
2,8,"BI Developer",4,"Yes",4.64
3,8,"BI Developer",4,"Yes",3.87
4,8,"BI Developer",4,"Yes",4.21
5,8,"BI Developer",4,"Yes",7.82
1,9,"BI Developer",4,"Yes",4.11
2,9,"BI Developer",4,"Yes",4.42
3,9,"BI Developer",4,"Yes",3.65
4,9,"BI Developer",4,"Yes",3.99
5,9,"BI Developer",4,"Yes",7.6
1,10,"BI Developer",4,"Yes",4.15
2,10,"BI Developer",4,"Yes",4.46
3,10,"BI Developer",4,"Yes",3.69
4,10,"BI Developer",4,"Yes",4.03
5,10,"BI Developer",4,"Yes",7.64
1,11,"BI Developer",4,"Yes",4.57
2,11,"BI Developer",4,"Yes",4.88
3,11,"BI Developer",4,"Yes",4.11
4,11,"BI Developer",4,"Yes",4.45
5,11,"BI Developer",4,"Yes",8.06
1,12,"BI Developer",4,"Yes",5.49
2,12,"BI Developer",4,"Yes",5.8
3,12,"BI Developer",4,"Yes",5.03
4,12,"BI Developer",4,"Yes",5.37
5,12,"BI Developer",4,"Yes",8.98
1,1,"Insights Consultant",4,"Yes",4.57
2,1,"Insights Consultant",4,"Yes",4.88
3,1,"Insights Consultant",4,"Yes",4.11
4,1,"Insights Consultant",4,"Yes",4.45
5,1,"Insights Consultant",4,"Yes",8.06
1,2,"Insights Consultant",4,"Yes",5.89
2,2,"Insights Consultant",4,"Yes",6.2
3,2,"Insights Consultant",4,"Yes",5.43
4,2,"Insights Consultant",4,"Yes",5.77
5,2,"Insights Consultant",4,"Yes",9.38
1,3,"Insights Consultant",4,"Yes",6.63
2,3,"Insights Consultant",4,"Yes",6.94
3,3,"Insights Consultant",4,"Yes",6.17
4,3,"Insights Consultant",4,"Yes",6.51
5,3,"Insights Consultant",4,"Yes",10.12
1,4,"Insights Consultant",4,"Yes",6.91
2,4,"Insights Consultant",4,"Yes",7.22
3,4,"Insights Consultant",4,"Yes",6.45
4,4,"Insights Consultant",4,"Yes",6.79
5,4,"Insights Consultant",4,"Yes",10.4
1,5,"Insights Consultant",4,"Yes",6.85
2,5,"Insights Consultant",4,"Yes",7.16
3,5,"Insights Consultant",4,"Yes",6.39
4,5,"Insights Consultant",4,"Yes",6.73
5,5,"Insights Consultant",4,"Yes",10.34
1,6,"Insights Consultant",4,"Yes",6.57
2,6,"Insights Consultant",4,"Yes",6.88
3,6,"Insights Consultant",4,"Yes",6.11
4,6,"Insights Consultant",4,"Yes",6.45
5,6,"Insights Consultant",4,"Yes",10.06
1,7,"Insights Consultant",4,"Yes",6.19
2,7,"Insights Consultant",4,"Yes",6.5
3,7,"Insights Consultant",4,"Yes",5.73
4,7,"Insights Consultant",4,"Yes",6.07
5,7,"Insights Consultant",4,"Yes",9.68
1,8,"Insights Consultant",4,"Yes",5.83
2,8,"Insights Consultant",4,"Yes",6.14
3,8,"Insights Consultant",4,"Yes",5.37
4,8,"Insights Consultant",4,"Yes",5.71
5,8,"Insights Consultant",4,"Yes",9.32
1,9,"Insights Consultant",4,"Yes",5.61
2,9,"Insights Consultant",4,"Yes",5.92
3,9,"Insights Consultant",4,"Yes",5.15
4,9,"Insights Consultant",4,"Yes",5.49
5,9,"Insights Consultant",4,"Yes",9.1
1,10,"Insights Consultant",4,"Yes",5.65
2,10,"Insights Consultant",4,"Yes",5.96
3,10,"Insights Consultant",4,"Yes",5.19
4,10,"Insights Consultant",4,"Yes",5.53
5,10,"Insights Consultant",4,"Yes",9.14
1,11,"Insights Consultant",4,"Yes",6.07
2,11,"Insights Consultant",4,"Yes",6.38
3,11,"Insights Consultant",4,"Yes",5.61
4,11,"Insights Consultant",4,"Yes",5.95
5,11,"Insights Consultant",4,"Yes",9.56
1,12,"Insights Consultant",4,"Yes",6.99
2,12,"Insights Consultant",4,"Yes",7.3
3,12,"Insights Consultant",4,"Yes",6.53
4,12,"Insights Consultant",4,"Yes",6.87
5,12,"Insights Consultant",4,"Yes",10.48
1,1,"People Scientist",5,"Yes",1.78
2,1,"People Scientist",5,"Yes",2.09
3,1,"People Scientist",5,"Yes",1.33
4,1,"People Scientist",5,"Yes",1.66
5,1,"People Scientist",5,"Yes",5.27
1,2,"People Scientist",5,"Yes",3.1
2,2,"People Scientist",5,"Yes",3.41
3,2,"People Scientist",5,"Yes",2.65
4,2,"People Scientist",5,"Yes",2.98
5,2,"People Scientist",5,"Yes",6.59
1,3,"People Scientist",5,"Yes",3.84
2,3,"People Scientist",5,"Yes",4.15
3,3,"People Scientist",5,"Yes",3.39
4,3,"People Scientist",5,"Yes",3.72
5,3,"People Scientist",5,"Yes",7.33
1,4,"People Scientist",5,"Yes",4.12
2,4,"People Scientist",5,"Yes",4.43
3,4,"People Scientist",5,"Yes",3.67
4,4,"People Scientist",5,"Yes",4
5,4,"People Scientist",5,"Yes",7.61
1,5,"People Scientist",5,"Yes",4.06
2,5,"People Scientist",5,"Yes",4.37
3,5,"People Scientist",5,"Yes",3.61
4,5,"People Scientist",5,"Yes",3.94
5,5,"People Scientist",5,"Yes",7.55
1,6,"People Scientist",5,"Yes",3.78
2,6,"People Scientist",5,"Yes",4.09
3,6,"People Scientist",5,"Yes",3.33
4,6,"People Scientist",5,"Yes",3.66
5,6,"People Scientist",5,"Yes",7.27
1,7,"People Scientist",5,"Yes",3.4
2,7,"People Scientist",5,"Yes",3.71
3,7,"People Scientist",5,"Yes",2.95
4,7,"People Scientist",5,"Yes",3.28
5,7,"People Scientist",5,"Yes",6.89
1,8,"People Scientist",5,"Yes",3.04
2,8,"People Scientist",5,"Yes",3.35
